,param_clf__selected_model,params,mean_fit_time,std_fit_time,mean_test_ba,std_test_ba,rank_test_ba,mean_test_ap,std_test_ap,rank_test_ap,mean_test_ra,std_test_ra,rank_test_ra,mean_test_F1,std_test_F1,rank_test_F1
1,"('rf', {'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 200})","{'clf__selected_model': ('rf', {'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 200})}",0.987317434946696,0.024075599507649724,0.6452017924054243,0.01207635760497374,1,0.6685067356094107,0.017711616175959004,1,0.728116434908981,0.014116033222118256,1,0.5680501576776941,0.023405577990781877,1
3,"('rf', {'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 200})","{'clf__selected_model': ('rf', {'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 200})}",1.0293240388234457,0.05433282575083131,0.6433174244740044,0.013755181681125453,2,0.6668788701929572,0.01813985026130082,2,0.7273663974037194,0.01484162202664797,2,0.5648186745202055,0.024920608627185613,3
2,"('rf', {'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 110})","{'clf__selected_model': ('rf', {'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 110})}",0.5547562599182129,0.014861433065670506,0.6419845922717273,0.012606701114947987,3,0.6667520823605876,0.018457230434787652,3,0.726870304004779,0.015369317918181843,3,0.5621871124859291,0.02601121143042199,4
5,"('rf', {'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 20})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 20})}",0.12874191602071125,0.011739841118842105,0.6409846379657738,0.015089507182956026,4,0.6488989494371147,0.017168194346471544,7,0.7135136908582549,0.015883305402704367,6,0.5668843948927048,0.02156370449296498,2
7,"('rf', {'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 155})","{'clf__selected_model': ('rf', {'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 155})}",1.0197995026906332,0.029581859399622754,0.6069097336317334,0.008973322160249281,5,0.5640457174043371,0.015157223884814539,10,0.653155534694862,0.01361172474711603,9,0.5454713149965109,0.010347244036944344,5
6,"('rf', {'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 155})","{'clf__selected_model': ('rf', {'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 155})}",1.0368936856587727,0.048421306105245254,0.6040331131766812,0.011601924207633596,6,0.5650563202592419,0.01580937936183389,9,0.6530564783858251,0.012458302902730372,10,0.5437294525988164,0.013155265086440458,6
4,"('rf', {'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 200})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 200})}",0.8689125537872314,0.06471404506419319,0.5774936894517793,0.015379752911577947,7,0.6648224723831994,0.015709407470854017,4,0.7201826782772155,0.014366362140845646,4,0.2979787031505411,0.045443717222658185,7
8,"('rf', {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 110})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 110})}",0.47445586522420247,0.03079735834757905,0.5761940428943036,0.01714547247079193,8,0.6629533618630808,0.01387693511558925,5,0.7184156161456691,0.012342129672766038,5,0.2974742988063198,0.04938265025812462,8
9,"('rf', {'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20})}",0.10421779950459799,0.01117891749461446,0.5751145223062218,0.021374548400687976,9,0.6491021504730322,0.029413723263130378,6,0.7088889746380401,0.02345511440660861,7,0.29342996196837373,0.06587647168200311,9
0,"('rf', {'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 20})","{'clf__selected_model': ('rf', {'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 20})}",0.09840318361918131,0.011847290092028676,0.5635205765823552,0.027387959468171328,10,0.6360945489258917,0.03133105087517915,8,0.7043349127817397,0.02424059302266662,8,0.25886269968258346,0.09410627861431739,10
